MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
40,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
45,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
50,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
55,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
60,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
65,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
70,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
75,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
80,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
85,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
90,ward.D,delta,0.7490039840637449,0.7662909212332075,0.75,0.9010989010989011,0.8394262662695294,1,Anderson,Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Desaguliers_6,Folkes,Stukeley
95,ward.D,delta,0.7490039840637449,0.7662909212332075,0.75,0.9010989010989011,0.8394262662695294,1,Anderson,Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Desaguliers_6,Folkes,Stukeley
100,ward.D,delta,0.7490039840637449,0.7662909212332075,0.75,0.9010989010989011,0.8394262662695294,1,Anderson,Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Desaguliers_6,Folkes,Stukeley
105,ward.D,delta,0.7490039840637449,0.7662909212332075,0.75,0.9010989010989011,0.8394262662695294,1,Anderson,Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Desaguliers_6,Folkes,Stukeley
110,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
115,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
120,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
125,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
130,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
135,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
140,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
145,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
150,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
155,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
160,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
165,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
170,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
175,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
180,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
185,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
190,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
195,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
200,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
40,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
45,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
50,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
55,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
60,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
65,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
70,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
75,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
80,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
85,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
90,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
95,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
100,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
105,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
110,ward.D2,delta,0.6047444036084196,0.6145997186560109,0.75,0.8571428571428572,0.7347564751164134,1,Anderson,Anderson_4 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
115,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
120,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
125,ward.D2,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson,Anderson_4 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes
130,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
135,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
140,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
145,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
150,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
155,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
160,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
165,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
170,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
175,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
180,ward.D2,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
185,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
190,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
195,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
200,ward.D2,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
40,single,delta,0.10377131876050927,0.20358510492749493,0.75,0.5494505494505495,0.40994973304835697,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Desaguliers,Folkes
45,single,delta,0.1474897910160942,0.22266061258192152,0.75,0.5714285714285714,0.4240824526312922,1,Anderson_1 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Folkes
50,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
55,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
60,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
65,single,delta,0.1474897910160942,0.22266061258192152,0.75,0.5714285714285714,0.4240824526312922,1,Anderson_1 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Folkes
70,single,delta,0.1474897910160942,0.22266061258192152,0.75,0.5714285714285714,0.4240824526312922,1,Anderson_1 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Folkes
75,single,delta,-0.11558669001751315,-0.08254633267393548,0.75,0.3846153846153846,0.17424494299840002,1,Anderson_1 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Desaguliers
80,single,delta,0.003940455341506116,-7.33955497481588e-4,0.75,0.4505494505494505,0.23665057141331547,1,Anderson_1 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Folkes_1 Stukeley_ 1 Stukeley_ 2,Anderson,Desaguliers,Folkes
85,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
90,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
95,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
100,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Desaguliers_6 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
105,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
110,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
115,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
120,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
125,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
130,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
135,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
140,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
145,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
150,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
155,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
160,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
165,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
170,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
175,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
180,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
185,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
190,single,delta,0.12346760070052538,0.1642037258477379,0.75,0.5164835164835164,0.36246331526559783,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5 Stukeley_ 1 Stukeley_ 2,Desaguliers,Folkes,Folkes
