MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
6,ward.D,delta,0.0796812749003984,0.15941231695911603,0.5,0.6373626373626373,0.4224601649796979,2,Anderson_no_king_killer_1715_wbq_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Philosophical_Transactions_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson_Royal_Geneologies_tagged Desaguliers_Electrical_1729_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged,Desaguliers,Stukeley
7,ward.D,delta,0.3027888446215139,0.4553844088389521,0.5,0.7252747252747253,0.6258127438522821,2,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Philosophical_Transactions_tagged,Desaguliers_Electrical_1729_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Desaguliers,Stukeley
8,ward.D,delta,0.7871700634814567,0.7896345725674241,0.75,0.9230769230769231,0.8552204806616209,1,Anderson,Desaguliers,Desaguliers_Electrical_1729_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Stukeley
9,ward.D,delta,0.7871700634814567,0.7896345725674241,0.75,0.9230769230769231,0.8552204806616209,1,Anderson,Desaguliers,Desaguliers_Electrical_1729_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Stukeley
10,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_no_king_killer_1715_wbq_tagged Anderson_Royal_Geneologies_tagged Anderson_sermon_1712._wbq_tagged Anderson_Unity_Trinity_v3_w_nums_tagged Desaguliers_Electrical_1729_tagged,Desaguliers,Folkes,Stukeley
11,ward.D,delta,0.7871700634814567,0.7896345725674241,0.75,0.9230769230769231,0.8552204806616209,1,Anderson,Desaguliers,Desaguliers_Electrical_1729_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Stukeley
12,ward.D,delta,0.5621285026889329,0.5359438863323036,0.75,0.8131868131868132,0.6708346772751336,1,Anderson_no_king_killer_1715_wbq_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson,Folkes,Stukeley
13,ward.D,delta,0.8524164774570224,0.8194632257778823,0.75,0.945054945054945,0.8765338516208904,1,Anderson_no_king_killer_1715_wbq_tagged Folkes_1717AuroraBorealis_1736MockSuns_1747FatherHardouin_tagged Folkes_1743FreshWaterPolypus_tagged,Anderson,Desaguliers,Stukeley
14,ward.D,delta,0.7490039840637449,0.7662909212332075,0.75,0.9010989010989011,0.8394262662695294,1,Anderson_no_king_killer_1715_wbq_tagged Desaguliers_Course_vols_1_2_1734_1744_tagged Desaguliers_Dedications_Prefaces_tagged Desaguliers_Electrical_1729_tagged Desaguliers_Letters_tagged Desaguliers_Philosophical_Transactions_tagged Desaguliers_Sermon_1717_wbq_tagged,Anderson,Folkes,Stukeley
15,ward.D,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
