MFW,method,distance,ARI,AMI,Correct Attribution,RI,NMI,Cluster errors,Cluster 1,Cluster 2,Cluster 3,Cluster 4
40,ward.D,delta,0.3826322930800543,0.43086145039510704,0.25,0.7802197802197802,0.6078960773942741,3,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Folkes_2 Stukeley_ 1 Stukeley_ 2
45,ward.D,delta,0.38014920531949403,0.5129354839402716,0.5,0.7692307692307692,0.6669045402570268,2,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Stukeley
50,ward.D,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
55,ward.D,delta,0.3017902813299233,0.4602185655845466,0.5,0.7362637362637363,0.6313068075421489,2,Anderson_1 Anderson_4 Desaguliers_3 Desaguliers_6,Anderson,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Stukeley
60,ward.D,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
65,ward.D,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
70,ward.D,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
75,ward.D,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
80,ward.D,delta,0.5439358503174073,0.5949378113497491,0.5,0.8351648351648352,0.72122458670766465,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Desaguliers_3 Folkes_1 Folkes_2,Stukeley
85,ward.D,delta,0.3027888446215139,0.4553844088389521,0.5,0.7252747252747253,0.6258127438522821,2,Anderson_1 Anderson_2 Anderson_3 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5,Anderson_4 Desaguliers_3 Desaguliers_6,Folkes,Stukeley
90,ward.D,delta,0.3027888446215139,0.4553844088389521,0.5,0.7252747252747253,0.6258127438522821,2,Anderson_1 Anderson_2 Anderson_3 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5,Anderson_4 Desaguliers_3 Desaguliers_6,Folkes,Stukeley
95,ward.D,delta,0.3027888446215139,0.4553844088389521,0.5,0.7252747252747253,0.6258127438522821,2,Anderson_1 Anderson_2 Anderson_3 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5,Anderson_4 Desaguliers_3 Desaguliers_6,Folkes,Stukeley
100,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
105,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Folkes,Stukeley
110,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
115,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
120,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Folkes,Stukeley
125,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
130,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
135,ward.D,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
140,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
145,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
150,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
155,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
160,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
165,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
170,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
175,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
180,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
185,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
190,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
195,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
200,ward.D,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
40,ward.D2,delta,0.3826322930800543,0.43086145039510704,0.25,0.7802197802197802,0.6078960773942741,3,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1,Folkes_2 Stukeley_ 1 Stukeley_ 2
45,ward.D2,delta,0.38014920531949403,0.5129354839402716,0.5,0.7692307692307692,0.6669045402570268,2,Anderson,Anderson_4 Desaguliers_3 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Stukeley
50,ward.D2,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
55,ward.D2,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
60,ward.D2,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
65,ward.D2,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
70,ward.D2,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
75,ward.D2,delta,0.4143426294820717,0.4973698149335035,0.5,0.7692307692307692,0.6464410141475353,2,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5 Folkes_1 Folkes_2,Desaguliers,Stukeley
80,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
85,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
90,ward.D2,delta,0.3027888446215139,0.4553844088389521,0.5,0.7252747252747253,0.6258127438522821,2,Anderson_1 Anderson_2 Anderson_3 Desaguliers_1 Desaguliers_2 Desaguliers_4 Desaguliers_5,Anderson_4 Desaguliers_3 Desaguliers_6,Folkes,Stukeley
95,ward.D2,delta,1,1,1,1,1,0,Anderson,Desaguliers,Folkes,Stukeley
100,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
105,ward.D2,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Folkes,Stukeley
110,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
115,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
120,ward.D2,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Folkes,Stukeley
125,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
130,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
135,ward.D2,delta,0.7343496594226404,0.7818610695440139,0.75,0.9010989010989011,0.8504761084444377,1,Anderson_1 Anderson_2 Anderson_3 Anderson_4 Desaguliers_6,Desaguliers,Folkes,Stukeley
140,ward.D2,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
145,ward.D2,delta,0.5345268542199488,0.5944308158579801,0.5,0.8241758241758241,0.722979362145386,2,Anderson_1 Anderson_3 Anderson_4 Desaguliers_6,Anderson_2 Desaguliers_1 Desaguliers_2 Desaguliers_3 Desaguliers_4 Desaguliers_5,Folkes,Stukeley
